user_id,user_embedding
79,"0.0,0.0,0.047943152,1.2623081,0.07183489,0.0,0.58678055,0.012270367"
80,"0.0,0.0,0.05308564,1.4637297,0.07645826,0.0,0.53179085,0.0076469947"
81,"0.0,0.0,0.05667366,1.6040272,0.07960613,0.0,0.49415645,0.004499117"
82,"0.0,0.0,0.05205749,1.4239658,0.0755342,0.0,0.5429644,0.008571055"
83,"0.0,0.0,0.05086926,1.3761923,0.07442847,0.0,0.5561843,0.009676782"
84,"0.0,0.007003826,0.03614252,0.7756253,0.061079327,0.0,0.72405225,0.022468258"
85,"0.0,0.007025871,0.036005702,0.7706425,0.060979694,0.0,0.72519326,0.02260802"
86,"0.0,0.0,0.061949532,1.8128976,0.08460239,0.0,0.43568388,0.0"
87,"0.0,0.0062526623,0.03700287,0.81964695,0.06182708,0.0,0.7109296,0.021842638"
88,"0.0,0.0,0.05682918,1.6097779,0.07976585,0.0,0.49236354,0.00433941"
89,"0.0,0.00589268,0.03736226,0.7937171,0.06257642,0.0,0.71899474,0.020786816"
90,"0.0,0.0025810003,0.04155783,0.99838376,0.06607253,0.0,0.66107255,0.017551415"
91,"0.0,0.0,0.06234949,1.8256042,0.08465621,0.0,0.43434846,0.0"
92,"0.0,0.011648412,0.02978509,0.49994835,0.054944336,0.0,0.8056358,0.028041873"
93,"0.0,0.009694574,0.032637797,0.57568735,0.058085334,0.0,0.7815399,0.02542934"
94,"0.0,0.003789518,0.040098514,0.94681334,0.06460254,0.0,0.67491287,0.019223448"
95,"0.0,0.0038861874,0.039838016,0.9304903,0.06433481,0.0,0.6808228,0.019236498"
96,"0.0,0.005330932,0.03800279,0.84456533,0.06292956,0.0,0.70444757,0.020599663"
97,"0.0,0.0,0.06279346,1.8435403,0.08521629,0.0,0.42878276,0.0"
98,"0.0,0.0050077643,0.038513094,0.881199,0.063235834,0.0,0.6935692,0.02046043"
99,"0.0,0.006036465,0.03709682,0.7865536,0.062315594,0.0,0.7210888,0.021096664"
100,"0.0,0.011394205,0.030210512,0.44816905,0.05595903,0.0,0.81925565,0.027403865"
101,"0.0,0.0,0.07720452,2.405532,0.09812109,0.0,0.2762699,0.0"
102,"0.0,0.00600883,0.037318595,0.8331091,0.06196341,0.0,0.70766693,0.021756724"
103,"0.0,0.0,0.046274856,1.1952195,0.07020175,0.0,0.60588956,0.013903506"
104,"0.0,0.007121776,0.036023937,0.7752064,0.060887784,0.0,0.72389674,0.022636667"
105,"0.0,0.0,0.06401465,1.8903581,0.08633995,0.0,0.41597587,0.0"
106,"0.0,0.005031812,0.0385277,0.88043016,0.06327693,0.0,0.6937659,0.02031554"
107,"0.0,0.0035438286,0.040117353,0.9263242,0.06493791,0.0,0.6816534,0.01868755"
108,"0.0,0.005245216,0.038092542,0.86308223,0.06285361,0.0,0.699047,0.020733051"
109,"0.0,0.0015521599,0.042802397,1.0569259,0.06708783,0.0,0.6440949,0.016911283"
110,"0.0,0.010889007,0.03136418,0.575519,0.05633001,0.0,0.781965,0.026932063"
111,"0.0,0.011394848,0.030563876,0.50248545,0.05597759,0.0,0.8032877,0.027356045"
112,"0.0,0.0,0.049760774,1.3331988,0.07341017,0.0,0.56801975,0.010695089"
113,"0.0,0.007035656,0.036003347,0.7479925,0.06117846,0.0,0.7315011,0.022443913"
114,"0.0,0.00429703,0.039449215,0.92066777,0.064017996,0.0,0.68235326,0.019800758"
115,"0.0,0.002665135,0.041731767,1.0177157,0.066157,0.0,0.6541333,0.017948257"
116,"0.0,0.003509622,0.04062709,0.97086775,0.06504492,0.0,0.6679193,0.018952783"
117,"0.0,0.0,0.051842794,1.4145942,0.07520212,0.0,0.5460522,0.008903129"
118,"0.0,0.00381595,0.04020388,0.95291114,0.06476747,0.0,0.6728558,0.019095916"
119,"0.0,0.0010149395,0.043174613,1.0617218,0.06759589,0.0,0.64363855,0.016007505"
120,"0.0,0.0053511597,0.03817555,0.8702574,0.06287957,0.0,0.69615775,0.020903606"
121,"0.0,0.0,0.05044564,1.3598373,0.074013926,0.0,0.5608545,0.010091329"
122,"0.0,0.011488922,0.029754855,0.38827354,0.055831973,0.0,0.8372432,0.02772698"
123,"0.0,0.007499948,0.035690013,0.76661974,0.060497418,0.0,0.72583115,0.023061775"
124,"0.0,0.007134165,0.03577955,0.74035686,0.06096767,0.0,0.7339116,0.0224756"
125,"0.0,0.003239099,0.040626418,0.963775,0.065117225,0.0,0.6711652,0.018552687"
126,"0.0,9.1237016e-05,0.044602036,1.1308773,0.06878135,0.0,0.6228853,0.015323898"
127,"0.0,0.0,0.04514108,1.1519322,0.069323026,0.0,0.6172501,0.014782224"
128,"0.0,0.0016107326,0.04301878,1.0683494,0.06737193,0.0,0.6398743,0.016733326"
129,"0.0,0.0,0.05029406,1.3526754,0.07375184,0.0,0.5633534,0.010353416"
130,"0.0,0.0,0.04868075,1.2911172,0.07245864,0.0,0.5791746,0.0116466135"
131,"0.0,0.003139343,0.04094566,0.98380053,0.06535459,0.0,0.6645651,0.018663485"
132,"0.0,0.0,0.06437495,1.9057333,0.08657319,0.0,0.41175056,0.0"
133,"0.0,0.0,0.050308082,1.3534683,0.07380463,0.0,0.56283647,0.010300627"
134,"0.0,0.011487477,0.029297391,0.3675333,0.05534347,0.0,0.8441931,0.028114265"
135,"0.0,0.0,0.046660587,1.2104841,0.07055591,0.0,0.6019648,0.013549343"
136,"0.0,0.011527873,0.030255867,0.5386956,0.055063266,0.0,0.79381377,0.02809736"
137,"0.0,0.0,0.046751224,1.2141786,0.07068466,0.0,0.600399,0.013420595"
138,"0.0,0.0,0.0498302,1.3331256,0.07324655,0.0,0.56970334,0.010858702"
139,"0.0,0.003041531,0.040967558,0.9850222,0.065281235,0.0,0.6646122,0.018824015"
140,"0.0,0.011274827,0.030593703,0.51437217,0.05594449,0.0,0.7997143,0.027246764"
141,"0.0,0.0,0.051349733,1.395257,0.07480266,0.0,0.5510755,0.009302594"
142,"0.0,0.0093466295,0.03317134,0.6136978,0.05844016,0.0,0.7704438,0.025164703"
143,"0.0,0.0,0.046377175,1.1998054,0.07031751,0.0,0.60492367,0.013787745"
144,"0.0,0.0006893277,0.043898065,1.1024094,0.06806877,0.0,0.6310589,0.016036484"
145,"0.0,0.011414293,0.030010767,0.43436426,0.0558526,0.0,0.8231924,0.027618062"
146,"0.0,0.0,0.051338304,1.3930547,0.07469243,0.0,0.552828,0.009412823"
147,"0.0,0.0013743937,0.043021128,1.066853,0.06720193,0.0,0.64136946,0.016903326"
148,"0.0,0.0,0.05251392,1.4430621,0.076046154,0.0,0.5367637,0.008059101"
149,"0.0,0.0,0.05109766,1.3847059,0.07454159,0.0,0.5546363,0.00956366"
150,"0.0,0.0015806947,0.042851288,1.0613332,0.06712971,0.0,0.64258254,0.016975544"
151,"0.0,0.0,0.059618514,1.7170835,0.08211138,0.0,0.46455786,0.001993876"
152,"0.0,0.0030186074,0.041138045,0.993646,0.06553913,0.0,0.66130286,0.018561002"
153,"0.0,0.0037387908,0.039824106,0.9256289,0.0645819,0.0,0.68174344,0.018872127"
154,"0.0,0.004354421,0.03955727,0.9259536,0.06406805,0.0,0.681091,0.019836534"
155,"0.0,0.0038135145,0.03991413,0.9353943,0.0644522,0.0,0.6788315,0.019231103"
156,"0.0,0.0,0.060088165,1.7382407,0.08271296,0.0,0.45728147,0.0013922919"
157,"0.0,0.005474588,0.03825255,0.874618,0.06302826,0.0,0.6942316,0.020770729"
158,"0.0,0.005304613,0.03808166,0.8354374,0.06321292,0.0,0.7068932,0.020334488"
159,"0.0,0.0,0.04849504,1.2836503,0.07231589,0.0,0.5809495,0.011789372"
160,"0.0,0.0061652614,0.03719211,0.8254924,0.061997246,0.0,0.709666,0.021572266"
161,"0.0,0.0,0.060636543,1.76052,0.08334805,0.0,0.4504743,0.00075720996"
162,"0.0,0.0,0.06266749,1.8386782,0.08503179,0.0,0.43028086,0.0"
163,"0.0,0.010911656,0.027362999,0.0,0.05868958,0.0,1.0390104,0.026125673"
164,"0.0,0.0057461266,0.03750482,0.79613805,0.06274478,0.0,0.71816516,0.020717569"
165,"0.0,0.0,0.048049442,1.2668443,0.071913764,0.0,0.5858028,0.0121914875"
166,"0.0,0.00023519713,0.0442305,1.1134619,0.06818879,0.0,0.6291836,0.015916467"
167,"0.0,0.008280899,0.034361675,0.68361515,0.059489995,0.0,0.75055164,0.02394183"
168,"0.0,0.003767374,0.039963644,0.92754054,0.06482014,0.0,0.6807679,0.018708128"
169,"0.0,0.0,0.047298357,1.234566,0.07104212,0.0,0.5958466,0.013063135"
170,"0.0,0.0035507083,0.04036262,0.9591379,0.06487838,0.0,0.6713964,0.019024432"
171,"0.0,0.0003215624,0.04411939,1.1046472,0.06843197,0.0,0.63113207,0.015303959"
172,"0.0,0.010999524,0.03099761,0.5268858,0.056294154,0.0,0.7958499,0.027149912"
173,"0.0,0.0,0.047385983,1.2390473,0.07120609,0.0,0.5940807,0.012899157"
174,"0.0,0.001299629,0.0432429,1.0770533,0.06751611,0.0,0.6379639,0.016589139"
175,"0.0,0.0,0.046902873,1.221252,0.070883915,0.0,0.5984074,0.013221342"
176,"0.0,0.0,0.04572813,1.1737852,0.06972323,0.0,0.61188245,0.014382021"
177,"0.0,0.0013640346,0.043139696,1.0703131,0.06742419,0.0,0.64024013,0.016572803"
178,"0.0,0.0010285573,0.043580145,1.0870559,0.068032585,0.0,0.6351432,0.015802532"
179,"0.0,0.011542313,0.0293802,0.36650008,0.055537775,0.0,0.8440489,0.027971482"
180,"0.0,0.0025699586,0.041983258,1.0281996,0.06645125,0.0,0.650682,0.017653998"
181,"0.0,0.0009945268,0.043504678,1.0871348,0.06771527,0.0,0.63504124,0.016389977"
182,"0.0,0.0032298192,0.04091053,0.9838841,0.06526823,0.0,0.66413105,0.018837016"
183,"0.0,0.0027611554,0.04153154,1.0066433,0.06598884,0.0,0.6574788,0.017994646"
184,"0.0,0.0,0.056158945,1.5835809,0.07912962,0.0,0.49990883,0.004975632"
185,"0.0,0.0014195982,0.043194555,1.0747883,0.067465454,0.0,0.63856083,0.016639799"
186,"0.0,0.0,0.06020876,1.7420267,0.08276618,0.0,0.45674133,0.0013390761"
187,"0.0,0.0,0.05789434,1.6512136,0.080685325,0.0,0.4811958,0.0034199338"
188,"0.0,0.005870645,0.037320595,0.80017865,0.062480263,0.0,0.71729356,0.020886239"
189,"0.0,0.0045839543,0.038910292,0.8929019,0.063531265,0.0,0.69117314,0.020043526"
190,"0.0,0.0013687173,0.043037515,1.0691895,0.067306496,0.0,0.640098,0.016798751"
191,"0.0,0.005621864,0.03793001,0.8609305,0.06260606,0.0,0.69904995,0.021220963"
192,"0.0,0.007250172,0.0358703,0.7756637,0.060677703,0.0,0.7233492,0.022987694"
193,"0.0,0.010968127,0.031104656,0.55718577,0.0563624,0.0,0.787286,0.026715212"
194,"0.0,0.0,0.052262176,1.4328437,0.07577162,0.0,0.5397316,0.008333633"
195,"0.0,0.0,0.060499184,1.7536304,0.08306804,0.0,0.453682,0.0010372102"
196,"0.0,0.0066370154,0.03648633,0.7790052,0.061486766,0.0,0.7233377,0.021867694"
197,"0.0,0.0009380914,0.04358029,1.0896341,0.06779308,0.0,0.63497746,0.016312178"
198,"0.0,0.0,0.04812959,1.2670634,0.07177453,0.0,0.5870104,0.012330724"
199,"0.0,0.0,0.04881531,1.2950319,0.072437435,0.0,0.5791644,0.01166782"
200,"0.0,0.011377975,0.030345123,0.47711003,0.055987667,0.0,0.8105039,0.027279856"
201,"0.0,0.0011409074,0.04311941,1.0601467,0.067332305,0.0,0.6443179,0.016543917"
202,"0.0,0.0021168757,0.04214353,1.0332063,0.06647436,0.0,0.6504017,0.01763089"
203,"0.0,0.0114147235,0.030389385,0.50154865,0.05576512,0.0,0.80388814,0.02742469"
204,"0.0,0.0,0.04544149,1.1620948,0.06940667,0.0,0.6154078,0.014698584"
205,"0.0,0.0,0.046987444,1.2234054,0.07083145,0.0,0.5982957,0.013273807"
206,"0.0,0.011402712,0.030547163,0.4968982,0.05589399,0.0,0.80512637,0.027436286"
207,"0.0,0.0021924553,0.04217972,1.0344303,0.06648823,0.0,0.65015876,0.017617024"
208,"0.0,0.0015685316,0.042847797,1.0598643,0.06715843,0.0,0.6429976,0.016850274"
209,"0.0,0.0096453065,0.03267953,0.58940876,0.058023322,0.0,0.7775564,0.025523137"
210,"0.0,0.0,0.081800774,2.5884652,0.10248624,0.0,0.22476399,0.0"
211,"0.0,0.0037970757,0.039863877,0.9291029,0.064548485,0.0,0.6804387,0.019046672"
212,"0.0,0.006254233,0.03692774,0.8021163,0.061831363,0.0,0.7165176,0.021695413"
213,"0.0,0.003203202,0.040939517,0.98616177,0.065430105,0.0,0.6630429,0.018675145"
214,"0.0,0.003256089,0.040731907,0.9749824,0.065040454,0.0,0.66753995,0.019064799"
215,"0.0,0.0,0.054918725,1.534478,0.07799348,0.0,0.51350117,0.0061117746"
216,"0.0,0.011674736,0.030849246,0.5716162,0.05565665,0.0,0.78204304,0.027920004"
217,"0.0,0.008962744,0.03361324,0.65003973,0.05875528,0.0,0.76048625,0.024716027"
218,"0.0,0.0059824428,0.03714709,0.81871426,0.062037498,0.0,0.7118439,0.02144583"
219,"0.0,0.005263596,0.03822682,0.8701334,0.06288763,0.0,0.6968953,0.020831335"
220,"0.0,0.0,0.047371857,1.2376628,0.07113132,0.0,0.59447896,0.012973931"
221,"0.0,0.005673169,0.037587695,0.8102324,0.06263777,0.0,0.7140901,0.021114605"
222,"0.0,0.0,0.055850387,1.570582,0.07875684,0.0,0.5039396,0.0053484216"
223,"0.0,0.0026232088,0.0413696,0.9962616,0.06577209,0.0,0.66158307,0.01802539"
224,"0.0,0.0024678698,0.041793004,1.0177934,0.06615895,0.0,0.6546237,0.017883472"
225,"0.0,0.0027186414,0.041526593,1.0083302,0.06585144,0.0,0.65746474,0.018253809"
226,"0.0,0.0037857527,0.040195312,0.9526122,0.06469833,0.0,0.6730957,0.019250091"
227,"0.0,0.009886652,0.032553796,0.6262516,0.057627574,0.0,0.76680803,0.025885712"
228,"0.0,0.0,0.052083924,1.4219621,0.07532774,0.0,0.5447818,0.008777522"
229,"0.0,0.0072926558,0.035749525,0.7522807,0.060703177,0.0,0.7308594,0.022711772"
230,"0.0,0.0,0.049343124,1.3165125,0.07303281,0.0,0.5726597,0.011072438"
231,"0.0,0.0,0.06574339,1.9584179,0.08776012,0.0,0.39787906,0.0"
232,"0.0,0.0016213087,0.042588517,1.0474613,0.06666298,0.0,0.6479045,0.017442271"
233,"0.0,0.0,0.04934477,1.315318,0.073018,0.0,0.57333,0.011087252"
234,"0.0,0.00173938,0.04267431,1.0539043,0.0669545,0.0,0.64461285,0.017150749"
235,"0.0,0.0,0.05053328,1.3625327,0.07401328,0.0,0.5606171,0.010091975"
236,"0.0,0.011382549,0.030346625,0.49469584,0.05570221,0.0,0.80585915,0.02757967"
237,"0.0,0.006235067,0.03693893,0.81606627,0.06165796,0.0,0.71261287,0.02200477"
238,"0.0,0.0,0.045051824,1.1487832,0.069257125,0.0,0.6176511,0.014848127"
239,"0.0,0.0,0.05139021,1.3945116,0.07469489,0.0,0.55268955,0.009410376"
240,"0.0,0.006802371,0.03609754,0.7321155,0.061471164,0.0,0.7369076,0.021921163"
241,"0.0,0.0,0.045621946,1.1679193,0.06948798,0.0,0.6145111,0.014617274"
242,"0.0,0.011457273,0.028918568,0.2926031,0.05565872,0.0,0.86611056,0.027781717"
243,"0.0,0.004372495,0.039375592,0.9176265,0.06401693,0.0,0.6830124,0.01975539"
244,"0.0,0.0056769536,0.037615363,0.8384715,0.062577166,0.0,0.70605713,0.020843655"
245,"0.0,0.010958603,0.027810346,0.0,0.057662293,0.0,0.98912287,0.026640708"
246,"0.0,0.0,0.047429964,1.2410222,0.07129053,0.0,0.59330463,0.012814725"
247,"0.0,0.0031275135,0.04075403,0.9730292,0.06529342,0.0,0.6678951,0.01850127"
248,"0.0,0.0103548085,0.03194059,0.5768014,0.057095442,0.0,0.7814018,0.026247423"
249,"0.0,0.0021640202,0.04219132,1.0352118,0.066571295,0.0,0.6495888,0.017533956"
250,"0.0,0.0,0.046729576,1.2143581,0.07066717,0.0,0.60039216,0.013438085"
251,"0.0,0.0,0.04817863,1.2725167,0.07209967,0.0,0.58351237,0.012005582"
252,"0.0,0.0,0.0477854,1.2541243,0.071530454,0.0,0.5898788,0.0125747975"
253,"0.0,0.0,0.05052208,1.3631785,0.074117586,0.0,0.5596396,0.009987667"
254,"0.0,0.005996267,0.037300948,0.8185719,0.062198624,0.0,0.7119748,0.021269122"
255,"0.0,0.0,0.059673183,1.7215827,0.08237915,0.0,0.46193898,0.0017261133"
256,"0.0,0.0,0.04753294,1.2467103,0.07151548,0.0,0.59067655,0.012589775"
257,"0.0,0.0,0.06463288,1.9136968,0.08679809,0.0,0.41016716,0.0"
258,"0.0,0.0018202346,0.042452283,1.0449468,0.066698864,0.0,0.64750665,0.01740639"
259,"0.0,0.0,0.057622388,1.6409724,0.0804241,0.0,0.4847263,0.0036811512"
260,"0.0,0.0,0.046527997,1.2036178,0.07031132,0.0,0.60483706,0.013793935"
261,"0.0,0.0052070855,0.038373623,0.88092697,0.06291519,0.0,0.69372296,0.021094862"
262,"0.0,0.0,0.044972114,1.1432323,0.068985656,0.0,0.6204397,0.015119601"
263,"0.0,0.0011966154,0.043152746,1.0732945,0.067424856,0.0,0.6392828,0.016680397"
264,"0.0,0.011127201,0.028178725,0.0052261353,0.057061005,0.0,0.94987565,0.027041867"
265,"0.0,0.0,0.04931449,1.3143795,0.07295057,0.0,0.57335657,0.011154681"
266,"0.0,0.0,0.048166767,1.2697155,0.07190334,0.0,0.5854957,0.012201916"
267,"0.0,0.011410919,0.029063283,0.3110078,0.05558779,0.0,0.8606361,0.027926434"
268,"0.0,0.0,0.052856065,1.4548169,0.07626836,0.0,0.5345151,0.007836901"
269,"0.0,0.010981359,0.031094847,0.53465897,0.056325123,0.0,0.7935663,0.02708289"
270,"0.0,0.0,0.050415754,1.3586717,0.07402017,0.0,0.56080616,0.010085087"
271,"0.0,0.0,0.04878959,1.293694,0.07244348,0.0,0.579494,0.011661777"
272,"0.0,0.0,0.0567628,1.6066306,0.07960153,0.0,0.49394554,0.0045037214"
273,"0.0,0.0,0.051787846,1.4113231,0.07512533,0.0,0.547583,0.008979926"
274,"0.0,0.0,0.072172225,2.209588,0.09357293,0.0,0.3296142,0.0"
275,"0.0,0.0,0.044894174,1.140548,0.068871655,0.0,0.62128824,0.015233595"
276,"0.0,0.0,0.046188824,1.1928611,0.07021761,0.0,0.6057425,0.013873515"
277,"0.0,0.00026840344,0.04437808,1.1208824,0.068545684,0.0,0.62614703,0.015559567"
278,"0.0,0.0,0.07574579,2.3510787,0.096876234,0.0,0.29031998,0.0"
279,"0.0,0.011412126,0.030273328,0.4763538,0.055796526,0.0,0.81112224,0.027554933"
280,"0.0,0.0034486214,0.040575594,0.9644231,0.06511601,0.0,0.67034334,0.018643338"
281,"0.0,0.0026457934,0.04175065,1.0176688,0.06613833,0.0,0.65435374,0.01795928"
282,"0.0,0.0029335218,0.041117117,0.98956054,0.06552917,0.0,0.6627694,0.018414311"
283,"0.0,0.0,0.05311458,1.4635577,0.07631124,0.0,0.53317046,0.007794019"
284,"0.0,0.009727255,0.032433487,0.54988,0.05805012,0.0,0.78906006,0.025554225"
285,"0.0,0.001909852,0.04246731,1.0442382,0.06681216,0.0,0.64717054,0.017198123"
286,"0.0,0.0001646094,0.044296153,1.1167302,0.06831683,0.0,0.62815017,0.01578842"
287,"0.0,0.0064950506,0.036833145,0.806084,0.06177205,0.0,0.71512794,0.021572828"
288,"0.0,0.0,0.051262252,1.3911061,0.07468549,0.0,0.55243033,0.009419763"
289,"0.0,0.0,0.052562453,1.4432387,0.07594118,0.0,0.5378331,0.008164074"
290,"0.0,0.011566658,0.030194223,0.4900538,0.0556438,0.0,0.8066237,0.027824212"
291,"0.0,0.005137684,0.03851385,0.8841636,0.06321254,0.0,0.69213223,0.020579994"
292,"0.0,0.008475597,0.034360867,0.70281017,0.05932861,0.0,0.74474466,0.02412443"
293,"0.0,0.005084316,0.038328547,0.8594477,0.06334176,0.0,0.69963783,0.020165712"
294,"0.0,0.011363035,0.029885266,0.37106484,0.056237962,0.0,0.8418989,0.027225861"
295,"0.0,0.0011462644,0.04333718,1.0803223,0.067561805,0.0,0.6373667,0.016543448"
