movie_id,movie_embedding
47,"0.0,0.0,0.0,1.181663,0.0,0.0,1.2030966,0.0"
48,"0.0,0.0,0.0,0.78514415,0.0,0.0,0.26970142,0.0"
49,"0.0,0.0,0.0,0.90651405,0.0,0.0,0.49053937,0.0"
50,"0.0,0.0,0.0,1.5749829,0.0,0.0,2.1692748,0.0"
51,"0.0,0.0,0.0,0.8234693,0.0,0.0,0.37374038,0.0"
52,"0.0,0.0,0.0,0.924279,0.0,0.0,0.5760364,0.0"
53,"0.0,0.0,0.0,0.94201684,0.0,0.0,0.5768071,0.0"
54,"0.0,0.0,0.0,0.66802114,0.0,0.0,0.12696753,0.0"
55,"0.0,0.0,0.0,0.59274745,0.0,0.0,0.093165934,0.0"
56,"0.0,0.0,0.0,0.77099836,0.0,0.0,0.2535045,0.0"
57,"0.0,0.0,0.0,0.91749895,0.0,0.0,0.5175735,0.0"
58,"0.0,0.0,0.0,1.2312489,0.0,0.0,1.2960644,0.0"
59,"0.0,0.0,0.0,0.71968067,0.0,0.0,0.2461942,0.0"
60,"0.0,0.0,0.0,0.87188315,0.0,0.0,0.43193626,0.0"
61,"0.0,0.0,0.0,0.58915854,0.0,0.0,0.0857701,0.0"
62,"0.0,0.0,0.0,0.9889234,0.0,0.0,0.6920098,0.0"
63,"0.0,0.0,0.0,0.3148597,0.0,0.0,0.0,0.0"
64,"0.0,0.0,0.0,0.43661258,0.0,0.0,0.0,0.0"
65,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
66,"0.0,0.0,0.0,0.29007456,0.0,0.0,0.0,0.0"
67,"0.0,0.0,0.0,0.83290225,0.0,0.0,0.37410286,0.0"
68,"0.0,0.0,0.0,0.5598676,0.0,0.0,0.0,0.0"
69,"0.0,0.0,0.0,0.89156926,0.0,0.0,0.4935608,0.0"
70,"0.0,0.0,0.0,0.79303765,0.0,0.0,0.25789747,0.0"
71,"0.0,0.0,0.0,0.28828606,0.0,0.0,0.0,0.0"
72,"0.0,0.0,0.0,0.95883524,0.0,0.0,0.61442924,0.0"
73,"0.0,0.0,0.0,1.0072277,0.0,0.0,0.7328218,0.0"
74,"0.0,0.0,0.0,0.5227147,0.0,0.0,0.0121382065,0.0"
75,"0.0,0.0,0.0,0.5906165,0.0,0.0,0.08324562,0.0"
76,"0.0,0.0,0.0,0.8200278,0.0,0.0,0.3248683,0.0"
77,"0.0,0.0,0.0,1.0108814,0.0,0.0,0.69848,0.0"
78,"0.0,0.0,0.0,0.8218646,0.0,0.0,0.35647288,0.0"
79,"0.0,0.0,0.0,0.44108614,0.0,0.0,0.0,0.0"
80,"0.0,0.0,0.0,0.737057,0.0,0.0,0.26353437,0.0"
81,"0.0,0.0,0.0,0.9171947,0.0,0.0,0.5151965,0.0"
82,"0.0,0.0,0.0,0.9384361,0.0,0.0,0.56820405,0.0"
83,"0.0,0.0,0.0,0.86714566,0.0,0.0,0.431182,0.0"
84,"0.0,0.0,0.0,0.7541541,0.0,0.0,0.2847254,0.0"
85,"0.0,0.0,0.0,0.82059026,0.0,0.0,0.36249682,0.0"
86,"0.0,0.0,0.0,0.9015612,0.0,0.0,0.4799777,0.0"
87,"0.0,0.0,0.0,0.2748151,0.0,0.0,0.0,0.0"
88,"0.0,0.0,0.0,0.77873063,0.0,0.0,0.24718574,0.0"
89,"0.0,0.0,0.0,0.80812085,0.0,0.0,0.30082256,0.0"
90,"0.0,0.0,0.0,0.8452281,0.0,0.0,0.39796126,0.0"
92,"0.0,0.0,0.0,0.5054105,0.0,0.0,0.0,0.0"
93,"0.0,0.0,0.0,0.66565645,0.0,0.0,0.11905761,0.0"
94,"0.0,0.0,0.0,1.0258998,0.0,0.0,0.79215986,0.0"
95,"0.0,0.0,0.0,0.49279174,0.0,0.0,0.0,0.0"
96,"0.0,0.0,0.0,0.8306345,0.0,0.0,0.34038755,0.0"
97,"0.0,0.0,0.0,0.9729818,0.0,0.0,0.6568727,0.0"
98,"0.0,0.0,0.0,0.45593682,0.0,0.0,0.0,0.0"
99,"0.0,0.0,0.0,0.79133457,0.0,0.0,0.39064786,0.0"
100,"0.0,0.0,0.0,0.7892038,0.0,0.0,0.3133513,0.0"
101,"0.0,0.0,0.0,0.9804807,0.0,0.0,0.71304005,0.0"
102,"0.0,0.0,0.0,0.037463307,0.0,0.0,0.0,0.0"
103,"0.0,0.0,0.0,0.69162756,0.0,0.0,0.17276867,0.0"
104,"0.0,0.0,0.0,1.0047966,0.0,0.0,0.77279377,0.0"
105,"0.0,0.0,0.0,0.8256435,0.0,0.0,0.3656147,0.0"
106,"0.0,0.0,0.0,0.89034945,0.0,0.0,0.46132654,0.0"
107,"0.0,0.0,0.0,0.8313986,0.0,0.0,0.34111616,0.0"
108,"0.0,0.0,0.0,0.93683684,0.0,0.0,0.5765724,0.0"
109,"0.0,0.0,0.0,0.74712986,0.0,0.0,0.21663247,0.0"
110,"0.0,0.0,0.0,1.2499199,0.0,0.0,1.3453166,0.0"
111,"0.0,0.0,0.0,1.250744,0.0,0.0,1.3391926,0.0"
112,"0.0,0.0,0.0,0.8282634,0.0,0.0,0.35070172,0.0"
113,"0.0,0.0,0.0,0.9177278,0.0,0.0,0.51641953,0.0"
114,"0.0,0.0,0.0,0.7919873,0.0,0.0,0.3359107,0.0"
115,"0.0,0.0,0.0,0.785061,0.0,0.0,0.26190275,0.0"
116,"0.0,0.0,0.0,1.1303743,0.0,0.0,0.99321604,0.0"
117,"0.0,0.0,0.0,0.8950443,0.0,0.0,0.47878513,0.0"
118,"0.0,0.0,0.0,0.6474289,0.0,0.0,0.09196547,0.0"
119,"0.0,0.0,0.0,0.6016366,0.0,0.0,0.050716173,0.0"
120,"0.0,0.0,0.0,0.8810569,0.0,0.0,0.44805616,0.0"
121,"0.0,0.0,0.0,1.0095316,0.0,0.0,0.7395612,0.0"
122,"0.0,0.0,0.0,0.45594442,0.0,0.0,0.0,0.0"
123,"0.0,0.0,0.0,1.0583093,0.0,0.0,0.8638887,0.0"
124,"0.0,0.0,0.0,0.8601198,0.0,0.0,0.41971415,0.0"
125,"0.0,0.0,0.0,0.954221,0.0,0.0,0.6502089,0.0"
126,"0.0,0.0,0.0,0.30760396,0.0,0.0,0.0,0.0"
127,"0.0,0.0,0.0,0.83982635,0.0,0.0,0.3889904,0.0"
128,"0.0,0.0,0.0,0.944855,0.0,0.0,0.592981,0.0"
129,"0.0,0.0,0.0,0.8544895,0.0,0.0,0.40202707,0.0"
130,"0.0,0.0,0.0,0.85691094,0.0,0.0,0.4123881,0.0"
131,"0.0,0.0,0.0,0.8656928,0.0,0.0,0.42772597,0.0"
132,"0.0,0.0,0.0,0.5385234,0.0,0.0,0.0,0.0"
133,"0.0,0.0,0.0,0.83996123,0.0,0.0,0.389982,0.0"
134,"0.0,0.0,0.0,0.98392665,0.0,0.0,0.65240467,0.0"
135,"0.0,0.0,0.0,0.7518809,0.0,0.0,0.20876281,0.0"
136,"0.0,0.0,0.0,0.93550885,0.0,0.0,0.58131474,0.0"
137,"0.0,0.0,0.0,0.813231,0.0,0.0,0.4231092,0.0"
138,"0.0,0.0,0.0,0.8434218,0.0,0.0,0.4003552,0.0"
139,"0.0,0.0,0.0,0.8449047,0.0,0.0,0.39795983,0.0"
140,"0.0,0.0,0.0,0.6391903,0.0,0.0,0.14649384,0.0"
141,"0.0,0.0,0.0,0.9185895,0.0,0.0,0.56066686,0.0"
142,"0.0,0.0,0.0,0.87881833,0.0,0.0,0.44705027,0.0"
143,"0.0,0.0,0.0,0.84561586,0.0,0.0,0.39489606,0.0"
144,"0.0,0.0,0.0,0.8259377,0.0,0.0,0.33030367,0.0"
145,"0.0,0.0,0.0,0.88834727,0.0,0.0,0.50343984,0.0"
146,"0.0,0.0,0.0,0.8133644,0.0,0.0,0.30858868,0.0"
147,"0.0,0.0,0.0,0.90052116,0.0,0.0,0.47894934,0.0"
148,"0.0,0.0,0.0,0.82351625,0.0,0.0,0.37572494,0.0"
149,"0.0,0.0,0.0,0.8297639,0.0,0.0,0.3794034,0.0"
150,"0.0,0.0,0.0,1.0868392,0.0,0.0,0.9353642,0.0"
151,"0.0,0.0,0.0,1.0006304,0.0,0.0,0.7218282,0.0"
152,"0.0,0.0,0.0,0.77524716,0.0,0.0,0.23681502,0.0"
153,"0.0,0.0,0.0,0.60146785,0.0,0.0,0.04394372,0.0"
154,"0.0,0.0,0.0,0.99782526,0.0,0.0,0.7115938,0.0"
155,"0.0,0.0,0.0,0.9060883,0.0,0.0,0.48807132,0.0"
156,"0.0,0.0,0.0,0.8219928,0.0,0.0,0.32451874,0.0"
157,"0.0,0.0,0.0,0.76904607,0.0,0.0,0.23756462,0.0"
158,"0.0,0.0,0.0,0.76620996,0.0,0.0,0.24282636,0.0"
159,"0.0,0.0,0.0,0.88477635,0.0,0.0,0.45323047,0.0"
160,"0.0,0.0,0.0,0.30381754,0.0,0.0,0.0,0.0"
161,"0.0,0.0,0.0,0.93092334,0.0,0.0,0.54638356,0.0"
162,"0.0,0.0,0.0,1.2699995,0.0,0.0,1.3348799,0.0"
163,"0.0,0.0,0.0,0.829697,0.0,0.0,0.35140064,0.0"
164,"0.0,0.0,0.0,0.9333912,0.0,0.0,0.5805301,0.0"
165,"0.0,0.0,0.0,0.93334687,0.0,0.0,0.6065544,0.0"
166,"0.0,0.0,0.0,0.5312515,0.0,0.0,0.021747023,0.0"
167,"0.0,0.0,0.0,0.8579112,0.0,0.0,0.41353458,0.0"
168,"0.0,0.0,0.0,0.7223952,0.0,0.0,0.24384837,0.0"
169,"0.0,0.0,0.0,0.099312246,0.0,0.0,0.0,0.0"
170,"0.0,0.0,0.0,0.83276844,0.0,0.0,0.36162952,0.0"
171,"0.0,0.0,0.0,0.8590009,0.0,0.0,0.4148533,0.0"
172,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
173,"0.0,0.0,0.0,0.30527136,0.0,0.0,0.0,0.0"
174,"0.0,0.0,0.0,0.5170624,0.0,0.0,0.0,0.0"
175,"0.0,0.0,0.0,0.9721322,0.0,0.0,0.6489161,0.0"
176,"0.0,0.0,0.0,0.9646391,0.0,0.0,0.6789123,0.0"
177,"0.0,0.0,0.0,0.7517184,0.0,0.0,0.18120998,0.0"
178,"0.0,0.0,0.0,0.83438474,0.0,0.0,0.3501615,0.0"
179,"0.0,0.0,0.0,0.53028023,0.0,0.0,0.020602658,0.0"
180,"0.0,0.0,0.0,1.0152915,0.0,0.0,0.80335826,0.0"
181,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
182,"0.0,0.0,0.0,0.6631051,0.0,0.0,0.17327638,0.0"
183,"0.0,0.0,0.0,0.8836367,0.0,0.0,0.46393302,0.0"
184,"0.0,0.0,0.0,0.89659286,0.0,0.0,0.47312018,0.0"
185,"0.0,0.0,0.0,0.67501956,0.0,0.0,0.13653068,0.0"
186,"0.0,0.0,0.0,0.5102488,0.0,0.0,0.0,0.0"
187,"0.0,0.0,0.0,0.7184216,0.0,0.0,0.18387845,0.0"
188,"0.0,0.0,0.0,0.6802418,0.0,0.0,0.08467497,0.0"
189,"0.0,0.0,0.0,0.77407014,0.0,0.0,0.25173688,0.0"
190,"0.0,0.0,0.0,0.89468884,0.0,0.0,0.48788851,0.0"
191,"0.0,0.0,0.0,0.62192297,0.0,0.0,0.12995954,0.0"
192,"0.0,0.0,0.0,0.9329196,0.0,0.0,0.5764992,0.0"
193,"0.0,0.0,0.0,0.30285484,0.0,0.0,0.0,0.0"
194,"0.0,0.0,0.0,0.9741466,0.0,0.0,0.6560772,0.0"
195,"0.0,0.0,0.0,0.655627,0.0,0.0,0.15926643,0.0"
196,"0.0,0.0,0.0,0.5679785,0.0,0.0,0.0,0.0"
197,"0.0,0.0,0.0,0.73150325,0.0,0.0,0.25472564,0.0"
198,"0.0,0.0,0.0,0.8857266,0.0,0.0,0.48284584,0.0"
199,"0.0,0.0,0.0,0.5366884,0.0,0.0,0.026059907,0.0"
200,"0.0,0.0,0.0,0.649464,0.0,0.0,0.11573993,0.0"
201,"0.0,0.0,0.0,0.6489605,0.0,0.0,0.15238786,0.0"
202,"0.0,0.0,0.0,0.78477526,0.0,0.0,0.31779107,0.0"
203,"0.0,0.0,0.0,0.8409597,0.0,0.0,0.37194222,0.0"
204,"0.0,0.0,0.0,0.69301564,0.0,0.0,0.12328839,0.0"
205,"0.0,0.0,0.0,0.6782349,0.0,0.0,0.19831562,0.0"
206,"0.0,0.0,0.0,1.0791078,0.0,0.0,0.8704549,0.0"
207,"0.0,0.0,0.0,0.827591,0.0,0.0,0.37150297,0.0"
208,"0.0,0.0,0.0,0.57628465,0.0,0.0,0.0009825686,0.0"
209,"0.0,0.0,0.0,0.07655406,0.0,0.0,0.0,0.0"
210,"0.0,0.0,0.0,0.7576578,0.0,0.0,0.29840305,0.0"
211,"0.0,0.0,0.0,0.91922575,0.0,0.0,0.51751786,0.0"
212,"0.0,0.0,0.0,0.603445,0.0,0.0,0.045086477,0.0"
213,"0.0,0.0,0.0,0.98893595,0.0,0.0,0.6886946,0.0"
214,"0.0,0.0,0.0,0.9237871,0.0,0.0,0.5300757,0.0"
215,"0.0,0.0,0.0,0.98144066,0.0,0.0,0.67546177,0.0"
216,"0.0,0.0,0.0,0.8812862,0.0,0.0,0.46868342,0.0"
217,"0.0,0.0,0.0,0.38228333,0.0,0.0,0.0,0.0"
218,"0.0,0.0,0.0,0.6902775,0.0,0.0,0.21022822,0.0"
219,"0.0,0.0,0.0,0.78418523,0.0,0.0,0.3165309,0.0"
220,"0.0,0.0,0.0,0.55728996,0.0,0.0,0.0,0.0"
222,"0.0,0.0,0.0,0.94581336,0.0,0.0,0.5864592,0.0"
223,"0.0,0.0,0.0,1.1909776,0.0,0.0,1.2348962,0.0"
224,"0.0,0.0,0.0,0.85423994,0.0,0.0,0.41129118,0.0"
225,"0.0,0.0,0.0,0.8482782,0.0,0.0,0.40263075,0.0"
226,"0.0,0.0,0.0,0.83085406,0.0,0.0,0.34114915,0.0"
227,"0.0,0.0,0.0,0.16567272,0.0,0.0,0.0,0.0"
228,"0.0,0.0,0.0,0.6215973,0.0,0.0,0.0665115,0.0"
229,"0.0,0.0,0.0,0.87011296,0.0,0.0,0.4334968,0.0"
230,"0.0,0.0,0.0,0.94280314,0.0,0.0,0.58378506,0.0"
231,"0.0,0.0,0.0,0.83601636,0.0,0.0,0.35627085,0.0"
232,"0.0,0.0,0.0,1.0839008,0.0,0.0,0.929378,0.0"
233,"0.0,0.0,0.0,0.72472775,0.0,0.0,0.24815017,0.0"
234,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
235,"0.0,0.0,0.0,0.9656409,0.0,0.0,0.6380453,0.0"
236,"0.0,0.0,0.0,0.83801186,0.0,0.0,0.36156064,0.0"
237,"0.0,0.0,0.0,0.6870533,0.0,0.0,0.13680756,0.0"
238,"0.0,0.0,0.0,0.70224017,0.0,0.0,0.16238531,0.0"
239,"0.0,0.0,0.0,0.64534396,0.0,0.0,0.09651597,0.0"
240,"0.0,0.0,0.0,0.6617028,0.0,0.0,0.13803442,0.0"
241,"0.0,0.0,0.0,0.91452914,0.0,0.0,0.5053742,0.0"
242,"0.0,0.0,0.0,0.7150843,0.0,0.0,0.2411087,0.0"
243,"0.0,0.0,0.0,0.5970753,0.0,0.0,0.044266287,0.0"
244,"0.0,0.0,0.0,0.60808617,0.0,0.0,0.08071388,0.0"
245,"0.0,0.0,0.0,0.8577999,0.0,0.0,0.4155731,0.0"
246,"0.0,0.0,0.0,1.274456,0.0,0.0,1.3474821,0.0"
247,"0.0,0.0,0.0,1.0219549,0.0,0.0,0.7730528,0.0"
248,"0.0,0.0,0.0,0.5838854,0.0,0.0,0.021248367,0.0"
249,"0.0,0.0,0.0,0.9225085,0.0,0.0,0.52819365,0.0"
250,"0.0,0.0,0.0,0.6213716,0.0,0.0,0.068140045,0.0"
251,"0.0,0.0,0.0,0.79680973,0.0,0.0,0.2675659,0.0"
252,"0.0,0.0,0.0,0.8272818,0.0,0.0,0.33212256,0.0"
253,"0.0,0.0,0.0,0.92798877,0.0,0.0,0.5406408,0.0"
254,"0.0,0.0,0.0,0.85519373,0.0,0.0,0.40831825,0.0"
255,"0.0,0.0,0.0,0.2842521,0.0,0.0,0.0,0.0"
256,"0.0,0.0,0.0,0.4016795,0.0,0.0,0.0,0.0"
257,"0.0,0.0,0.0,0.8446992,0.0,0.0,0.36045644,0.0"
258,"0.0,0.0,0.0,0.32296434,0.0,0.0,0.0,0.0"
259,"0.0,0.0,0.0,0.5731474,0.0,0.0,0.07828456,0.0"
260,"0.0,0.0,0.0,1.2961287,0.0,0.0,1.4992598,0.0"
261,"0.0,0.0,0.0,0.8974658,0.0,0.0,0.47081807,0.0"
262,"0.0,0.0,0.0,1.0039934,0.0,0.0,0.72695696,0.0"
263,"0.0,0.0,0.0,0.91584057,0.0,0.0,0.5091889,0.0"
264,"0.0,0.0,0.0,0.8002492,0.0,0.0,0.34445664,0.0"
265,"0.0,0.0,0.0,1.1675351,0.0,0.0,1.1360064,0.0"
266,"0.0,0.0,0.0,0.89605474,0.0,0.0,0.46918532,0.0"
267,"0.0,0.0,0.0,0.78522867,0.0,0.0,0.2578629,0.0"
268,"0.0,0.0,0.0,1.0231715,0.0,0.0,0.77539724,0.0"
269,"0.0,0.0,0.0,0.9309536,0.0,0.0,0.54980725,0.0"
270,"0.0,0.0,0.0,0.72509444,0.0,0.0,0.25343522,0.0"
271,"0.0,0.0,0.0,0.4748454,0.0,0.0,0.0,0.0"
272,"0.0,0.0,0.0,1.01698,0.0,0.0,0.7600089,0.0"
273,"0.0,0.0,0.0,0.63246953,0.0,0.0,0.14013873,0.0"
274,"0.0,0.0,0.0,0.6722109,0.0,0.0,0.12094998,0.0"
275,"0.0,0.0,0.0,0.43897295,0.0,0.0,0.0,0.0"
276,"0.0,0.0,0.0,0.51314276,0.0,0.0,0.0,0.0"
277,"0.0,0.0,0.0,0.73319304,0.0,0.0,0.24562505,0.0"
278,"0.0,0.0,0.0,0.6608064,0.0,0.0,0.11290257,0.0"
279,"0.0,0.0,0.0,0.89686066,0.0,0.0,0.4795622,0.0"
280,"0.0,0.0,0.0,0.8541448,0.0,0.0,0.40158725,0.0"
281,"0.0,0.0,0.0,0.9462402,0.0,0.0,0.58494174,0.0"
282,"0.0,0.0,0.0,0.5668689,0.0,0.0,0.0741428,0.0"
283,"0.0,0.0,0.0,0.87057585,0.0,0.0,0.4366129,0.0"
284,"0.0,0.0,0.0,0.7759006,0.0,0.0,0.23238114,0.0"
285,"0.0,0.0,0.0,0.873148,0.0,0.0,0.43707743,0.0"
286,"0.0,0.0,0.0,0.69019705,0.0,0.0,0.12445371,0.0"
287,"0.0,0.0,0.0,0.61640835,0.0,0.0,0.05438826,0.0"
288,"0.0,0.0,0.0,0.86941606,0.0,0.0,0.45174432,0.0"
289,"0.0,0.0,0.0,0.8155769,0.0,0.0,0.30716315,0.0"
290,"0.0,0.0,0.0,0.8945858,0.0,0.0,0.47213113,0.0"
291,"0.0,0.0,0.0,0.31055877,0.0,0.0,0.0,0.0"
292,"0.0,0.0,0.0,0.71115744,0.0,0.0,0.23351127,0.0"
293,"0.0,0.0,0.0,1.186053,0.0,0.0,1.1774518,0.0"
294,"0.0,0.0,0.0,0.7676536,0.0,0.0,0.23915228,0.0"
295,"0.0,0.0,0.0,0.80751777,0.0,0.0,0.2908444,0.0"
296,"0.0,0.0,0.0,1.2581847,0.0,0.0,1.3581272,0.0"
297,"0.0,0.0,0.0,0.61030895,0.0,0.0,0.12141889,0.0"
298,"0.0,0.0,0.0,0.83074325,0.0,0.0,0.34018874,0.0"
299,"0.0,0.0,0.0,0.94536066,0.0,0.0,0.57694143,0.0"
300,"0.0,0.0,0.0,1.0121611,0.0,0.0,0.75539553,0.0"
301,"0.0,0.0,0.0,0.7598951,0.0,0.0,0.27584124,0.0"
302,"0.0,0.0,0.0,0.9416928,0.0,0.0,0.57136226,0.0"
303,"0.0,0.0,0.0,0.6818326,0.0,0.0,0.113368705,0.0"
304,"0.0,0.0,0.0,0.97402877,0.0,0.0,0.6600009,0.0"
305,"0.0,0.0,0.0,0.20547163,0.0,0.0,0.0,0.0"
306,"0.0,0.0,0.0,1.226209,0.0,0.0,1.2792339,0.0"
307,"0.0,0.0,0.0,1.2294304,0.0,0.0,1.2906721,0.0"
308,"0.0,0.0,0.0,1.0754778,0.0,0.0,0.904085,0.0"
309,"0.0,0.0,0.0,0.936798,0.0,0.0,0.5659017,0.0"
310,"0.0,0.0,0.0,0.720517,0.0,0.0,0.17796843,0.0"
311,"0.0,0.0,0.0,0.8470186,0.0,0.0,0.3693358,0.0"
312,"0.0,0.0,0.0,0.07248908,0.0,0.0,0.0,0.0"
313,"0.0,0.0,0.0,0.64325464,0.0,0.0,0.113216504,0.0"
314,"0.0,0.0,0.0,1.0696278,0.0,0.0,0.8904443,0.0"
315,"0.0,0.0,0.0,0.57036716,0.0,0.0,0.0,0.0"
316,"0.0,0.0,0.0,0.8881937,0.0,0.0,0.49609807,0.0"
317,"0.0,0.0,0.0,0.86610425,0.0,0.0,0.42900932,0.0"
318,"0.0,0.0,0.0,1.6201859,0.0,0.0,2.250081,0.0"
319,"0.0,0.0,0.0,1.0432515,0.0,0.0,0.8550064,0.0"
320,"0.0,0.0,0.0,0.8871605,0.0,0.0,0.46943915,0.0"
321,"0.0,0.0,0.0,0.8635829,0.0,0.0,0.41514364,0.0"
322,"0.0,0.0,0.0,0.94606555,0.0,0.0,0.5842501,0.0"
324,"0.0,0.0,0.0,0.6573322,0.0,0.0,0.11374411,0.0"
325,"0.0,0.0,0.0,0.6883957,0.0,0.0,0.14504687,0.0"
326,"0.0,0.0,0.0,1.0759919,0.0,0.0,0.91301256,0.0"
327,"0.0,0.0,0.0,0.6654222,0.0,0.0,0.114962175,0.0"
328,"0.0,0.0,0.0,0.4965192,0.0,0.0,0.0,0.0"
329,"0.0,0.0,0.0,0.9024185,0.0,0.0,0.52825284,0.0"
330,"0.0,0.0,0.0,0.59493685,0.0,0.0,0.026736826,0.0"
331,"0.0,0.0,0.0,0.52968943,0.0,0.0,0.025932658,0.0"
332,"0.0,0.0,0.0,0.12514949,0.0,0.0,0.0,0.0"
333,"0.0,0.0,0.0,0.9012536,0.0,0.0,0.51593536,0.0"
334,"0.0,0.0,0.0,1.0794946,0.0,0.0,0.91836226,0.0"
335,"0.0,0.0,0.0,0.9305289,0.0,0.0,0.5767961,0.0"
336,"0.0,0.0,0.0,0.7455694,0.0,0.0,0.2712065,0.0"
337,"0.0,0.0,0.0,1.0150967,0.0,0.0,0.75815123,0.0"
338,"0.0,0.0,0.0,0.38502926,0.0,0.0,0.0,0.0"
339,"0.0,0.0,0.0,0.9729029,0.0,0.0,0.69593996,0.0"
340,"0.0,0.0,0.0,0.9013695,0.0,0.0,0.48225337,0.0"
341,"0.0,0.0,0.0,0.9069605,0.0,0.0,0.49383655,0.0"
342,"0.0,0.0,0.0,0.93766165,0.0,0.0,0.6059897,0.0"
343,"0.0,0.0,0.0,0.7518851,0.0,0.0,0.23445007,0.0"
344,"0.0,0.0,0.0,0.8735384,0.0,0.0,0.4495482,0.0"
345,"0.0,0.0,0.0,1.0367584,0.0,0.0,0.80856466,0.0"
346,"0.0,0.0,0.0,0.8787062,0.0,0.0,0.44228292,0.0"
347,"0.0,0.0,0.0,0.7649942,0.0,0.0,0.28617513,0.0"
348,"0.0,0.0,0.0,0.9990533,0.0,0.0,0.7585843,0.0"
349,"0.0,0.0,0.0,0.9699764,0.0,0.0,0.699875,0.0"
350,"0.0,0.0,0.0,0.9074379,0.0,0.0,0.48759663,0.0"
351,"0.0,0.0,0.0,0.9021621,0.0,0.0,0.4825119,0.0"
352,"0.0,0.0,0.0,0.7878083,0.0,0.0,0.2590201,0.0"
353,"0.0,0.0,0.0,0.9044094,0.0,0.0,0.537901,0.0"
354,"0.0,0.0,0.0,0.9252502,0.0,0.0,0.5317609,0.0"
355,"0.0,0.0,0.0,0.1670042,0.0,0.0,0.0,0.0"
